Order Id,Customer ID,Cust_name,Age,City,State,Order Date,Ord_Status,Product ID,Prod_Name,Category,Sub category,Price,Quantity,Amount,Paymt-Mode,Delivery Time,Delivery status,Distance,Rating,REVENUE,DELIVERY_time,Distance_category,Order Type,MONTH,,,,,,,,,,,,,,,,,
O000001,C00001,Vihaan Sharma,26,Delhi,Delhi,2024-03-24 00:00:00,Delivered,P01111,Green Cookies 2kg,Grocery & Staples,Dal & Pulses,90,1,20,UPI,52,Delivered Late,5,5,90,Slow,Near,Successful,March,,,,Pivot 1,,,,pivot 2,,,,,,,,pivot 3,
O000002,C00002,Meera Verma,19,Delhi,Delhi,2023-06-27 00:00:00,Delivered,P00814,Pure Milk 500g,Snacks & Branded Foods,Chips & Namkeen,180,2,380,Debit Card,66,Delivered Late,6.5,5,360,Slow,Far,Successful,June,,,,REVENUE BY CITY,,,,REVENUE BY CATEGORY,,,,,,,,MONTHLY SALES TREND,
O000003,C00003,Kabir Singh,30,Jaipur,Rajasthan,2023-04-07 00:00:00,Delivered,P00304,Good Cashew 2kg,Household,Disposables,60,5,3300,Credit Card,31,Delivered On Time,6.5,5,300,Fast,Far,Successful,April,,,,Row Labels,Count of REVENUE,,,Row Labels,Sum of REVENUE,,,,,,,Row Labels,Count of REVENUE
O000004,C00004,Kabir Jain,18,Bengaluru,Karnataka,2024-03-19 00:00:00,Cancelled,0,Not found,Not found,Not found,0,3,480,Cash on Delivery,68,Delivered On Time,7.7,2,0,Slow,Far,Failed,March,,,,Ahmedabad,1008,,,Baby Care,1722460,,,,,,,January,842
O000005,C00005,Kriti Yadav,39,Delhi,Delhi,2024-02-21 00:00:00,Delivered,P00104,Urban Curd 1L,Dairy & Bakery,Milk,20,2,240,UPI,44,Delivered Late,7.1,5,40,Fast,Far,Successful,February,,,,Bengaluru,992,,,Beverages,420150,,,,,,,February,747
O000006,C00006,Isha Verma,56,Chennai,Tamil Nadu,2024-08-17 00:00:00,Delivered,P00081,Fresh Curd 500g,Personal Care,Oral Care,390,4,440,Debit Card,45,Delivered On Time,6.3,4,1560,Fast,Far,Successful,August,,,,Chennai,1017,,,Dairy & Bakery,606030,,,,,,,March,863
O000007,C00007,Riya Singh,42,Delhi,Delhi,2024-03-31 00:00:00,Delivered,P00876,Quick Potato 1kg,Dairy & Bakery,Cakes,140,4,1560,UPI,5,Delivered On Time,2,3,560,Fast,Near,Successful,March,,,,Delhi,1020,,,Fruits & Vegetables,642490,,,,,,,April,810
O000008,C00008,Yash Mehta,22,Mumbai,Maharashtra,2023-04-24 00:00:00,Out for Delivery,P00817,Good Cashew 1L,Grocery & Staples,Dal & Pulses,130,3,1350,UPI,25,Delivered Late,1.4,4,390,Fast,Near,Failed,April,,,,Hyderabad,997,,,Grocery & Staples,1084410,,,,,,,May,873
O000009,C00009,Kabir Reddy,24,Kolkata,West Bengal,2024-04-07 00:00:00,Delivered,P00495,Good Shampoo 12 pcs,Snacks & Branded Foods,Chips & Namkeen,140,3,1440,Credit Card,45,Delivered Late,6.7,4,420,Fast,Far,Successful,April,,,,Jaipur,1010,,,Household,711020,,,,,,,June,808
O000010,C00010,Riya Yadav,31,Chennai,Tamil Nadu,2023-03-29 00:00:00,Cancelled,P00986,Daily Atta 1kg,Personal Care,Skin Care,390,3,1920,Debit Card,39,Delivered On Time,8.3,5,1170,Fast,Far,Failed,March,,,,Kolkata,1032,,,Personal Care,1091380,,,,,,,July,862
